Number,Title_URL,Title,Author,minirating
41,https://www.goodreads.com/book/show/19501.Eat_Pray_Love,"Eat, Pray, Love",Elizabeth Gilbert," 3.57 avg rating — 1,505,463 ratings"
42,https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss," 4.52 avg rating — 739,148 ratings"
43,https://www.goodreads.com/book/show/40440.The_Thirteenth_Tale,The Thirteenth Tale,Diane Setterfield," 3.96 avg rating — 276,950 ratings"
44,https://www.goodreads.com/book/show/5826.Bel_Canto,Bel Canto,Ann Patchett," 3.93 avg rating — 244,342 ratings"
45,https://www.goodreads.com/book/show/3985.The_Amazing_Adventures_of_Kavalier_Clay,The Amazing Adventures of Kavalier & Clay,Michael Chabon," 4.18 avg rating — 185,771 ratings"
46,https://www.goodreads.com/book/show/21996.The_Devil_in_the_White_City,The Devil in the White City,Erik Larson," 3.99 avg rating — 539,155 ratings"
47,https://www.goodreads.com/book/show/37470.The_Other_Boleyn_Girl,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory," 4.06 avg rating — 461,290 ratings"
48,https://www.goodreads.com/book/show/4137.Me_Talk_Pretty_One_Day,Me Talk Pretty One Day,David Sedaris," 3.99 avg rating — 627,978 ratings"
49,https://www.goodreads.com/book/show/113436.Eragon,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini," 3.91 avg rating — 1,469,885 ratings"
50,https://www.goodreads.com/book/show/62291.A_Storm_of_Swords,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin," 4.53 avg rating — 676,755 ratings"
51,https://www.goodreads.com/book/show/40873273-snow-flower-and-the-secret-fan,Snow Flower and the Secret Fan,Lisa See," 4.07 avg rating — 343,810 ratings"
52,https://www.goodreads.com/book/show/30236962-the-historian,The Historian,Elizabeth Kostova," 3.78 avg rating — 247,107 ratings"
53,https://www.goodreads.com/book/show/6892870-the-girl-who-kicked-the-hornet-s-nest,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Stieg Larsson," 4.22 avg rating — 657,044 ratings"
54,https://www.goodreads.com/book/show/49628.Cloud_Atlas,Cloud Atlas,David Mitchell,"really liked it
 4.00 avg rating — 221,999 ratings"
55,https://www.goodreads.com/book/show/24770.Uglies,"Uglies (Uglies, #1)",Scott Westerfeld," 3.85 avg rating — 571,795 ratings"
56,https://www.goodreads.com/book/show/345627.Vampire_Academy,"Vampire Academy (Vampire Academy, #1)",Richelle Mead," 4.11 avg rating — 562,109 ratings"
57,https://www.goodreads.com/book/show/17061.Coraline,Coraline,Neil Gaiman," 4.06 avg rating — 500,037 ratings"
58,https://www.goodreads.com/book/show/2213661.The_Graveyard_Book,The Graveyard Book,Neil Gaiman," 4.13 avg rating — 450,762 ratings"
59,https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell,Jonathan Strange & Mr Norrell,Susanna Clarke," 3.82 avg rating — 205,626 ratings"
60,https://www.goodreads.com/book/show/1202.Freakonomics,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt," 3.98 avg rating — 725,712 ratings"
61,https://www.goodreads.com/book/show/14866.Nineteen_Minutes,Nineteen Minutes,Jodi Picoult," 4.13 avg rating — 305,315 ratings"
62,https://www.goodreads.com/book/show/4929.Kafka_on_the_Shore,Kafka on the Shore,Haruki Murakami," 4.13 avg rating — 317,270 ratings"
